rarity_etypes	rarity_lambda	rarity_idf_cap	base_auroc	base_auprc	rarity_auroc	rarity_auprc	base_thr@0.01	base_prec@0.01	base_rec@0.01	base_f1@0.01	rarity_thr@0.01	rarity_prec@0.01	rarity_rec@0.01	rarity_f1@0.01	base_thr@0.05	base_prec@0.05	base_rec@0.05	base_f1@0.05	rarity_thr@0.05	rarity_prec@0.05	rarity_rec@0.05	rarity_f1@0.05	base_thr@0.10	base_prec@0.10	base_rec@0.10	base_f1@0.10	rarity_thr@0.10	rarity_prec@0.10	rarity_rec@0.10	rarity_f1@0.10	returncode
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.05	1.0	0.5954	0.4387	0.5899	0.4356	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.05	2.0	0.5954	0.4387	0.5581	0.4094	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.05	3.0	0.5954	0.4387	0.5581	0.4094	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	1.0	0.5954	0.4387	0.5817	0.4314	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	2.0	0.5954	0.4387	0.5580	0.4092	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	3.0	0.5954	0.4387	0.5579	0.4092	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	1.0	0.5954	0.4387	0.5815	0.4312	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	2.0	0.5954	0.4387	0.6398	0.4381	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	3.0	0.5954	0.4387	0.6413	0.4271	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.05	1.0	0.5954	0.4387	0.5733	0.4208	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.05	2.0	0.5954	0.4387	0.5551	0.4079	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.05	3.0	0.5954	0.4387	0.5551	0.4079	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.1	1.0	0.5954	0.4387	0.5652	0.4166	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.1	2.0	0.5954	0.4387	0.5547	0.4076	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.1	3.0	0.5954	0.4387	0.5547	0.4076	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.3	1.0	0.5954	0.4387	0.5648	0.4164	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.3	2.0	0.5954	0.4387	0.5472	0.4016	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
PROC|CONNECT|NET	0.3	3.0	0.5954	0.4387	0.5438	0.3990	-0.00236859	0.0	0.0	nan	-0.00236859	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0
	0.05	1.0	0.5954	0.4387	0.3140	0.3084	-0.00236859	0.0	0.0	nan	0.0476314	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.0423274	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.0342269	0.0	0.0	nan	0
	0.05	2.0	0.5954	0.4387	0.3184	0.2844	-0.00236859	0.0	0.0	nan	0.0976314	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.0921631	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.0831666	0.0	0.0	nan	0
	0.05	3.0	0.5954	0.4387	0.1166	0.2190	-0.00236859	0.0	0.0	nan	0.147631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.142163	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.133167	0.0	0.0	nan	0
	0.1	1.0	0.5954	0.4387	0.3131	0.3082	-0.00236859	0.0	0.0	nan	0.0976314	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.0923274	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.0842269	0.0	0.0	nan	0
	0.1	2.0	0.5954	0.4387	0.1008	0.2171	-0.00236859	0.0	0.0	nan	0.197631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.192163	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.183167	0.0	0.0	nan	0
	0.1	3.0	0.5954	0.4387	0.0800	0.2149	-0.00236859	0.0	0.0	nan	0.297631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.292163	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.283167	0.0	0.0	nan	0
	0.3	1.0	0.5954	0.4387	0.0710	0.2266	-0.00236859	0.0	0.0	nan	0.297631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.292327	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.284227	0.0	0.0	nan	0
	0.3	2.0	0.5954	0.4387	0.0727	0.2148	-0.00236859	0.0	0.0	nan	0.597631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.592163	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.583167	0.0	0.0	nan	0
	0.3	3.0	0.5954	0.4387	0.0879	0.2150	-0.00236859	0.0	0.0	nan	0.897631	0.0	0.0	nan	-0.00508112	0.0	0.0	nan	0.892163	0.0	0.0	nan	-0.00944059	0.0	0.0	nan	0.883167	0.0	0.0	nan	0
